homeport,nb_pointcalls,tonnage,country_group,category_1,category_2
Londres,37,4086,Europe du Nord,étranger,Grande-Bretagne
Locmariaquer,1,1,France,France,France (hors région PASA)
Newcastle,13,2561,Europe du Nord,étranger,Grande-Bretagne
Marans,31,210,France,France,France (région PASA)
Memel,4,601,Europe centrale,étranger,Prusse
Saint-Savinien,7,323,France,France,France (région PASA)
île de Ré,5,104,France,France,France (région PASA)
Châlon,2,21,France,France,France (région PASA)
Hambourg,7,771,Europe centrale,étranger,Hambourg
La Rochelle,14,4467,France,France,France (région PASA)
La Flotte-en-Ré,3,45,France,France,France (région PASA)
Kristiansund ,1,1,Europe du Nord,étranger,Danemark
Le Conquet,3,231,France,France,France (hors région PASA)
Indéterminé,18,1630,Autre,étranger,Indéterminé
Oude Pekela,2,122,Europe du Nord,étranger,Provinces-Unies
Taillebourg,1,1,France,France,France (région PASA)
Brême,5,436,Europe centrale,étranger,Brême
La Couarde,1,1,France,France,France (région PASA)
île d'Arz,1,1,France,France,France (hors région PASA)
Guernesey,5,319,Europe du Nord,étranger,Grande-Bretagne
Rouen,1,1,France,France,France (hors région PASA)
Gloucester,3,206,Amérique,étranger,Etats-Unis d'Amérique
Philadelphie,1,1,Amérique,étranger,Etats-Unis d'Amérique
Stavanger,10,993,Europe du Nord,étranger,Danemark
Waterford,1,1,Europe du Nord,étranger,Grande-Bretagne
Amsterdam,21,4745,Europe du Nord,étranger,Provinces-Unies
Molde,2,106,Europe du Nord,étranger,Danemark
Yarmouth,6,471,Europe du Nord,étranger,Grande-Bretagne
Bergue ,17,1162,Europe du Nord,étranger,Danemark
Boston,6,429,Amérique,étranger,Etats-Unis d'Amérique
Galway,1,1,Europe du Nord,étranger,Grande-Bretagne
Holmestrand,2,127,Europe du Nord,étranger,Danemark
Teignmouth,3,201,Europe du Nord,étranger,Grande-Bretagne
Honfleur,2,153,France,France,France (hors région PASA)
Newburyport,4,236,Amérique,étranger,Etats-Unis d'Amérique
Saint-Malo,1,1,France,France,France (hors région PASA)
Granville,1,1,France,France,France (hors région PASA)
Libourne,1,1,France,France,France (hors région PASA)
Frise,2,61,Europe du Nord,étranger,Provinces-Unies
Cherbourg,3,89,France,France,France (hors région PASA)
Dantzig ,7,1641,Europe de l'Est,étranger,Pologne
Hull,10,1230,Europe du Nord,étranger,Grande-Bretagne
Oldenbourg,2,121,Europe centrale,étranger,Duché d'Oldenbourg
Ars-en-Ré,2,46,France,France,France (région PASA)
Saint-Valéry-sur-Somme,2,76,France,France,France (hors région PASA)
Quiberon,5,117,France,France,France (hors région PASA)
Nantes,1,1,France,France,France (hors région PASA)
Vannes,3,75,France,France,France (hors région PASA)
Paimpol,1,1,France,France,France (hors région PASA)
Tréguier,1,1,France,France,France (hors région PASA)
Rotterdam,2,76,Europe du Nord,étranger,Provinces-Unies
Luçon,1,1,France,France,France (région PASA)
île de Man,1,1,Europe du Nord,étranger,Grande-Bretagne
Mecklenbourg,1,1,,étranger,Suède
Ribnitz,2,341,Europe centrale,étranger,Mecklenbourg
Plencia,3,75,Europe du Sud,étranger,Espagne
Harwich,1,1,Europe du Nord,étranger,Grande-Bretagne
Lübeck,8,1251,Europe centrale,étranger,Lubeck
Norvège,1,1,Europe du Nord,étranger,Danemark
Christiania / Oslo,1,1,Europe du Nord,étranger,Danemark
Cork,3,55,Europe du Nord,étranger,Grande-Bretagne
Liverpool,4,421,Europe du Nord,étranger,Grande-Bretagne
Bristol,4,349,Europe du Nord,étranger,Grande-Bretagne
Hollande,2,201,Europe du Nord,étranger,Provinces-Unies
Frederikshald / Halden,6,625,Europe du Nord,étranger,Danemark
Southampton,1,1,Europe du Nord,étranger,Grande-Bretagne
New York,1,1,Amérique,étranger,Etats-Unis d'Amérique
Appledore,1,1,Europe du Nord,étranger,Grande-Bretagne
Rochefort,5,766,France,France,France (région PASA)
Emden,4,474,Europe centrale,étranger,Prusse
Zierikzee,2,238,Europe du Nord,étranger,Provinces-Unies
Portsmouth,2,241,Europe du Nord,étranger,Grande-Bretagne
Topsham,2,121,Europe du Nord,étranger,Grande-Bretagne
"Portsmouth, VA,",1,1,Amérique,étranger,Etats-Unis d'Amérique
Norfolk,1,1,Amérique,étranger,Etats-Unis d'Amérique
Poole,4,411,Europe du Nord,étranger,Grande-Bretagne
Mandal,1,1,Europe du Nord,étranger,Danemark
Noirmoutier,2,59,France,France,France (région PASA)
Plymouth,4,360,Europe du Nord,étranger,Grande-Bretagne
Papenbourg,1,1,,étranger,Evêché de Münster
Groningue,3,188,Europe du Nord,étranger,Provinces-Unies
Georgie,1,1,Amérique,étranger,Etats-Unis d'Amérique
Königsberg / Kaliningrad,12,2267,Europe centrale,étranger,Prusse
Carteret,1,1,France,France,France (hors région PASA)
Saint-Briac,1,1,France,France,France (hors région PASA)
Caroline,1,1,Amérique,étranger,Etats-Unis d'Amérique
Kristiansand ,6,618,Europe du Nord,étranger,Danemark
Moss,1,1,Europe du Nord,étranger,Danemark
Marblehead,1,1,Amérique,étranger,Etats-Unis d'Amérique
Salem,1,1,Amérique,étranger,Etats-Unis d'Amérique
Flekkefjord ,2,71,Europe du Nord,étranger,Danemark
Middelbourg,1,1,Europe du Nord,étranger,Provinces-Unies
Harlingen,2,81,Europe du Nord,étranger,Provinces-Unies
Greenock,2,241,Europe du Nord,étranger,Grande-Bretagne
Stavoren,1,1,Europe du Nord,étranger,Provinces-Unies
Georgetown,2,101,Amérique,étranger,Etats-Unis d'Amérique
Farsund,1,1,Europe du Nord,étranger,Danemark
Saltcoats,1,1,Europe du Nord,étranger,Grande-Bretagne
Exeter,1,1,Europe du Nord,étranger,Grande-Bretagne
Dort,1,1,Europe du Nord,étranger,Provinces-Unies
Dartmouth,4,491,Europe du Nord,étranger,Grande-Bretagne
Chichester,1,1,Europe du Nord,étranger,Grande-Bretagne
Carmarthen,1,1,Europe du Nord,étranger,Grande-Bretagne
Wiscasset,1,1,Amérique,étranger,Etats-Unis d'Amérique
Bordeaux,2,161,France,France,France (hors région PASA)
Leith,2,115,Europe du Nord,étranger,Grande-Bretagne
Bideford,2,114,Europe du Nord,étranger,Grande-Bretagne
Barnstable,1,1,Amérique,étranger,Etats-Unis d'Amérique
Lutjegast,1,1,Europe du Nord,étranger,Provinces-Unies
Neufahrwasser ,1,1,Europe centrale,étranger,Prusse
Hoorn,1,1,Europe du Nord,étranger,Provinces-Unies
Île-aux-Moines,1,1,France,France,France (hors région PASA)
Dundee,1,1,Europe du Nord,étranger,Grande-Bretagne
Port-d'Envaux,1,1,France,France,France (région PASA)
Lannion,1,1,France,France,France (hors région PASA)
Sunderland,3,160,Europe du Nord,étranger,Grande-Bretagne
