homeport,nb_pointcalls,tonnage,category_1,country_group,category_2
Bourgneuf,16,352,France,France,France (hors région PASA)
île d'Yeu,59,1277,France,France,France (région PASA)
Ouessant,3,130,France,France,France (hors région PASA)
Argenton,18,1186,France,France,France (hors région PASA)
Saint-Jean-de-Luz,2,211,France,France,France (hors région PASA)
Carmarthen,1,1,étranger,Europe du Nord,Grande-Bretagne
Appledore,1,1,étranger,Europe du Nord,Grande-Bretagne
Bideford,2,151,étranger,Europe du Nord,Grande-Bretagne
Regnéville,1,1,France,France,France (hors région PASA)
Fouras,1,1,France,France,France (région PASA)
Plassac,10,488,France,France,France (hors région PASA)
Aber-Ildut,42,2611,France,France,France (hors région PASA)
Sunderland,5,498,étranger,Europe du Nord,Grande-Bretagne
Camaret,7,240,France,France,France (hors région PASA)
Plencia,6,191,étranger,Europe du Sud,Espagne
Blaye,4,55,France,France,France (hors région PASA)
Saint-Vaize,2,41,France,France,France (région PASA)
Arradon,6,64,France,France,France (hors région PASA)
l'Aiguillon,5,5,France,France,France (région PASA)
Cork,3,55,étranger,Europe du Nord,Grande-Bretagne
Hollande,2,201,étranger,Europe du Nord,Provinces-Unies
Frederikshald / Halden,5,425,étranger,Europe du Nord,Danemark
Boston,6,369,étranger,Amérique,Etats-Unis d'Amérique
Breuillet,8,41,France,France,France (région PASA)
Saint-Nazaire,1,1,France,France,France (hors région PASA)
Saint-Lunaire,1,1,France,France,France (hors région PASA)
Ambon,1,1,France,France,France (hors région PASA)
Saint-Trojan,2,25,France,France,France (région PASA)
Southampton,1,1,étranger,Europe du Nord,Grande-Bretagne
Port-Navalo,1,1,France,France,France (hors région PASA)
Cabara,2,24,France,France,France (hors région PASA)
New York,1,1,étranger,Amérique,Etats-Unis d'Amérique
Pont-l'Abbé,2,13,France,France,France (hors région PASA)
Billiers,1,1,France,France,France (hors région PASA)
Croix-de-Vie,3,5,France,France,France (région PASA)
Norden,1,1,étranger,Europe centrale,Prusse
La Bouille,1,1,France,France,France (hors région PASA)
Memel,4,851,étranger,Europe centrale,Prusse
Portsmouth,2,241,étranger,Europe du Nord,Grande-Bretagne
Zierikzee,2,238,étranger,Europe du Nord,Provinces-Unies
île de Man,1,1,étranger,Europe du Nord,Grande-Bretagne
Topsham,2,121,étranger,Europe du Nord,Grande-Bretagne
"Portsmouth, VA,",1,1,étranger,Amérique,Etats-Unis d'Amérique
Norfolk,1,1,étranger,Amérique,Etats-Unis d'Amérique
Binic,3,109,France,France,France (hors région PASA)
Emden,4,562,étranger,Europe centrale,Prusse
Papenbourg,1,1,étranger,,Evêché de Münster
Georgie,1,1,étranger,Amérique,Etats-Unis d'Amérique
Philadelphie,1,1,étranger,Amérique,Etats-Unis d'Amérique
Caroline,1,1,étranger,Amérique,Etats-Unis d'Amérique
Norvège,1,1,étranger,Europe du Nord,Danemark
Newburyport,4,161,étranger,Amérique,Etats-Unis d'Amérique
Moss,1,1,étranger,Europe du Nord,Danemark
Roscoff,1,1,France,France,France (hors région PASA)
Marblehead,1,1,étranger,Amérique,Etats-Unis d'Amérique
Molde,2,51,étranger,Europe du Nord,Danemark
Salem,1,1,étranger,Amérique,Etats-Unis d'Amérique
Libourne,2,47,France,France,France (hors région PASA)
Le Faou,5,262,France,France,France (hors région PASA)
Pontrieux ,4,262,France,France,France (hors région PASA)
Quillebeuf,2,97,France,France,France (hors région PASA)
Quimper,2,117,France,France,France (hors région PASA)
Middelbourg,2,181,étranger,Europe du Nord,Provinces-Unies
Pauillac,1,1,France,France,France (hors région PASA)
Holmestrand,2,127,étranger,Europe du Nord,Danemark
Saint-Servant,3,222,France,France,France (hors région PASA)
Harlingen,2,81,étranger,Europe du Nord,Provinces-Unies
Greenock,2,241,étranger,Europe du Nord,Grande-Bretagne
Stavoren,1,1,étranger,Europe du Nord,Provinces-Unies
Gloucester,3,201,étranger,Amérique,Etats-Unis d'Amérique
Georgetown,2,101,étranger,Amérique,Etats-Unis d'Amérique
Galway,1,1,étranger,Europe du Nord,Grande-Bretagne
Farsund,1,1,étranger,Europe du Nord,Danemark
Saltcoats,1,1,étranger,Europe du Nord,Grande-Bretagne
Exeter,1,1,étranger,Europe du Nord,Grande-Bretagne
Cognac,1,1,France,France,France (région PASA)
Bayonne,7,847,France,France,France (hors région PASA)
Aber-Wrac'h,1,1,France,France,France (hors région PASA)
La Hougue,1,1,France,France,France (hors région PASA)
Le Légué,1,1,France,France,France (hors région PASA)
Dort,1,1,étranger,Europe du Nord,Provinces-Unies
Dantzig ,7,1541,étranger,Europe de l'Est,Pologne
Kristiansand ,3,248,étranger,Europe du Nord,Danemark
Chichester,1,1,étranger,Europe du Nord,Grande-Bretagne
Concarneau,1,1,France,France,France (hors région PASA)
Penerf,1,1,France,France,France (hors région PASA)
Côtes de Bretagne,1,1,France,France,France (hors région PASA)
Wiscasset,1,1,étranger,Amérique,Etats-Unis d'Amérique
Paillet ,1,1,France,France,France (hors région PASA)
Royan,1,1,France,France,France (région PASA)
Leith,3,180,étranger,Europe du Nord,Grande-Bretagne
Espagne atlantique,2,35,étranger,Europe du Sud,Espagne
Courseulles,1,1,France,France,France (hors région PASA)
Barnstable,1,1,étranger,Amérique,Etats-Unis d'Amérique
IJlst,1,1,étranger,Europe du Nord,Provinces-Unies
Lutjegast,1,1,étranger,Europe du Nord,Provinces-Unies
Neufahrwasser ,1,1,étranger,Europe centrale,Prusse
Hoorn,1,1,étranger,Europe du Nord,Provinces-Unies
Dundee,1,1,étranger,Europe du Nord,Grande-Bretagne
Oude Pekela,3,181,étranger,Europe du Nord,Provinces-Unies
Audierne ,1,1,France,France,France (hors région PASA)
Newton,1,1,étranger,Europe du Nord,Grande-Bretagne
Frise,6,697,étranger,Europe du Nord,Provinces-Unies
Waterford,1,1,étranger,Europe du Nord,Grande-Bretagne
Sète,1,1,France,France,France (hors région PASA)
Föhr,1,1,étranger,Europe du Nord,Danemark
Workum,2,111,étranger,Europe du Nord,Provinces-Unies
Christiania / Oslo,1,1,étranger,Europe du Nord,Danemark
Arendal,1,1,étranger,Europe du Nord,Danemark
Wijzend,1,1,étranger,Europe du Nord,Provinces-Unies
Cowes,1,1,étranger,Europe du Nord,Grande-Bretagne
Luçon,1,1,France,France,France (région PASA)
Ilfracombe,1,1,étranger,Europe du Nord,Grande-Bretagne
île d'Aix,1,1,France,France,France (région PASA)
Kristiansund ,1,1,étranger,Europe du Nord,Danemark
Oldenbourg,2,121,étranger,Europe centrale,Duché d'Oldenbourg
Stettin,1,1,étranger,Europe centrale,Prusse
