line_number,source_type,year,customs_region,partner,partner_orthographic,export_import,product,product_orthographic,value,quantity,quantity_unit,quantity_unit_orthographic,value_per_unit,yearstr,customs_region_origin,customs_office,origin_origin,width_in_line,value_part_of_bundle,filepath,source,sheet,value_total,value_sub_total_1,value_sub_total_2,value_sub_total_3,data_collector,unverified,remarks,value_minus_un_source,absurd_observation,duty_quantity,duty_quantity_unit,duty_by_unit,duty_total,duty_part_of_bundle,duty_remarks,customs_region_grouping,origin,partner_simplification,partner_grouping,partner_obrien,partner_sourcename,partner_wars,partner_africa,nb_occurence_BdCFR,product_simplification,product_sitc,imprimatur,product_edentreaty,surement_pas_canada,product_canada,details_provenance,peche,product_medicinales,nbr_obs,product_hamburg,product_grains,product_coton,product_ulrich,product_coffee,product_porcelaine,product_v_glass_beads,product_revolutionempire,product_beaver,product_type_textile,product_luxe_dans_type,product_luxe_dans_SITC,product_sitc_FR,product_sitc_EN,product_sitc_simplEN,obsolete,product_RE_aggregate,product_threesectors,product_threesectorsM,quantity_unit_simplification,conv_orthographic_to_simplificat,quantity_unit_metric,conv_simplification_to_metric,needs_more_details,quantities_metric,unit_price_metric,best_guess_national_prodxpart,best_guess_national_partner,best_guess_national_product,best_guess_region_prodxpart,best_guess_national_region,computed_value,value_as_reported,computed_value_per_unit,computed_quantity,value_minus_unit_val_x_qty
1,National toutes directions partenaires manquants,1789,La Rochelle,Petites iles,Petites Îles,Exports,Bestiaux beuf,bestiaux bœuf,15120,84,pièces,pièces,180,1789,La Rochelle,Les Sables d'Olonne,Poitou,,,sources/National toutes directions partenaires manquants/AN_F12_1666_La_Rochelle_Exports_1789.csv,AN F12 1666,3,,,,,Ahmed,,,0,,,,,,,,La Rochelle,Poitou,Petites Îles,France,Petites Îles,France,Îles,Not Outre-mers,1,bœuf,0a,x,,1,Pas importé en France depuis l'Amérique avant 1763,,0,not a medical product,417,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Animaux,No link with beaver,,,,Autres produits alimentaires et animaux,Other foodstuff and live animals,Other foodstuffs and live animals,non,Bêtes de somme,Agriculture,Produits agricoles,pièces,1,nombre,1,0,84,180,0,0,0,1,1,0,15120,0,0,0
10,National toutes directions partenaires manquants,1789,La Rochelle,Petites iles,Petites Îles,Exports,Chanvre,chanvre,250,500,livres,livres,.5,1789,La Rochelle,Les Sables d'Olonne,Poitou,,,sources/National toutes directions partenaires manquants/AN_F12_1666_La_Rochelle_Exports_1789.csv,AN F12 1666,3,,,,,Ahmed,,en quintal,0,,,,,,,,La Rochelle,Poitou,Petites Îles,France,Petites Îles,France,Îles,Not Outre-mers,440,chanvre,2,x,,1,Pas importé en France depuis l'Amérique avant 1763,,0,not a medical product,471,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Chanvre,No link with beaver,,,,Matières brutes non-comestibles non transformées n.d.a.,"Raw materials, inedible, except fuels","Crude materials, inedible, except combustibles",non,Matières premières,Agriculture,Produits primaires,livres,1,kg,.48949999,0,244.75,1.0214505,0,0,0,1,1,0,250,0,0,0
100,National toutes directions partenaires manquants,1789,La Rochelle,Angleterre,Angleterre,Exports,Vins,vin,187,1.08,muids,muids,173.14815,1789,La Rochelle,Rochefort,Guyenne,,,sources/National toutes directions partenaires manquants/AN_F12_1666_La_Rochelle_Exports_1789.csv,AN F12 1666,7,,,,,Ahmed,,marchandises en estimation,,,,,,,,,La Rochelle,Guyenne,Angleterre,Angleterre,Angleterre,Angleterre,Angleterre et ses colonies,Not Outre-mers,226,vin,1,x,Vin de France,0,Hors Canada,,0,not a medical product,844,Vin ; de France,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Vins divers,No link with beaver,,,,Boissons et tabac,Beverages and tobacco,Drinks and tobacco,non,Subsistances,Agriculture,Produits agricoles,muids,1,litres,268.21439,1,289.67154,,0,0,0,1,1,0,187,1,0,-6.8203608e-06
101,National toutes directions partenaires manquants,1789,La Rochelle,Dunkerque,Dunkerque,Exports,Vinaigre,vinaigre,120,3.6800001,tonneaux,tonneaux,32.608696,1789,La Rochelle,Rochefort,Aunis,,,sources/National toutes directions partenaires manquants/AN_F12_1666_La_Rochelle_Exports_1789.csv,AN F12 1666,7,,,,,Ahmed,,marchandises en estimation,,,,,,,,,La Rochelle,Aunis,Dunkerque,France,Dunkerque,France,France,Not Outre-mers,2204,vinaigre,0a,x,Vinaigre de France,1,Pas importé en France depuis l'Amérique avant 1763,,0,not a medical product,1641,Vinaigre,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,"Bière, cidre et vinaigre",No link with beaver,,,,Autres produits alimentaires et animaux,Other foodstuff and live animals,Other foodstuffs and live animals,non,Subsistances,Agriculture,Produits agricoles,tonneaux,1,kg,2569.875,0,9457.1406,,0,0,0,1,1,0,120,1,0,-3.3975684e-06
102,National toutes directions partenaires manquants,1789,La Rochelle,Petites iles,Petites Îles,Exports,Bois à bruler et fagots,bois à brûler et fagots,57159,,,unité manquante,,1789,La Rochelle,Charente,Saintonge,,,sources/National toutes directions partenaires manquants/AN_F12_1666_La_Rochelle_Exports_1789.csv,AN F12 1666,11,,,,,Ahmed,,marchandises en estimation,,,,,,,,,La Rochelle,Saintonge,Petites Îles,France,Petites Îles,France,Îles,Not Outre-mers,1,bois pour brûler et fagots,3,,,1,Pas importé en France depuis l'Amérique avant 1763,,0,not a medical product,,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Combustibles dont charbons et bois,No link with beaver,,,,Combustibles,Fuels,Other,non,Matières premières,Non-agricultural primary goods,Produits primaires,unité manquante,,unité manquante,,,,,0,0,0,1,1,0,57159,0,0,
103,National toutes directions partenaires manquants,1789,La Rochelle,Petites iles,Petites Îles,Exports,Bois de construction,bois de construction,1361,,,unité manquante,,1789,La Rochelle,Charente,Saintonge,,,sources/National toutes directions partenaires manquants/AN_F12_1666_La_Rochelle_Exports_1789.csv,AN F12 1666,11,,,,,Ahmed,,marchandises en estimation,,,,,,,,,La Rochelle,Saintonge,Petites Îles,France,Petites Îles,France,Îles,Not Outre-mers,140,bois pour construction,6b,x,,0,Hors Canada,,0,not a medical product,409,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,"Ouvrages de bois, liège et jonc",No link with beaver,,,,"Produits du bois, liège, jonc","Wood, cork and cane products","Leather, wood and paper products",non,Industrie française et étrangère,Manufactures,Produits manufacturés,unité manquante,,unité manquante,,,,,0,0,0,1,1,0,1361,0,0,
104,National toutes directions partenaires manquants,1789,La Rochelle,Petites iles,Petites Îles,Exports,Bois en cercles,bois en cercles,3100,,,unité manquante,,1789,La Rochelle,Charente,Saintonge,,,sources/National toutes directions partenaires manquants/AN_F12_1666_La_Rochelle_Exports_1789.csv,AN F12 1666,11,,,,,Ahmed,,2200 veltes et 500 pintes,,,,,,,,,La Rochelle,Saintonge,Petites Îles,France,Petites Îles,France,Îles,Not Outre-mers,16,cercles de bois,6b,x,,1,Pas importé en France depuis l'Amérique avant 1763,,0,not a medical product,492,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,"Ouvrages de bois, liège et jonc",No link with beaver,,,,"Produits du bois, liège, jonc","Wood, cork and cane products","Leather, wood and paper products",non,Industrie française et étrangère,Manufactures,Produits manufacturés,unité manquante,,unité manquante,,,,,0,0,0,1,1,0,3100,0,0,
105,National toutes directions partenaires manquants,1789,La Rochelle,Petites iles,Petites Îles,Exports,Charbon de bois,charbon de bois,165,4725,livres,livres,.034920637,1789,La Rochelle,Charente,Saintonge,,,sources/National toutes directions partenaires manquants/AN_F12_1666_La_Rochelle_Exports_1789.csv,AN F12 1666,11,,,,,Ahmed,,marchandises en estimation,,,,,,,,,La Rochelle,Saintonge,Petites Îles,France,Petites Îles,France,Îles,Not Outre-mers,100,charbon de bois,3,x,,1,Pas importé en France depuis l'Amérique avant 1763,,0,not a medical product,305,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Combustibles dont charbons et bois,No link with beaver,,,,Combustibles,Fuels,Other,non,Matières premières,Non-agricultural primary goods,Produits primaires,livres,1,kg,.48949999,0,2312.8875,,0,0,0,1,1,0,165,1,0,-7.7672303e-06
106,National toutes directions partenaires manquants,1789,La Rochelle,Petites iles,Petites Îles,Exports,Cire blanche,cire blanche,1267.5,507,livres,livres,2.5,1789,La Rochelle,Charente,Saintonge,,,sources/National toutes directions partenaires manquants/AN_F12_1666_La_Rochelle_Exports_1789.csv,AN F12 1666,11,,,,,Ahmed,,,-.5,,,,,,,,La Rochelle,Saintonge,Petites Îles,France,Petites Îles,France,Îles,Not Outre-mers,260,cire blanche,4,x,,0,Peut-être Canada,,0,not a medical product,488,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Cire,No link with beaver,,,,"Huiles, graisses et cires d'origine animale et végétale",Oils,Oils,non,Matières premières,Manufactures,Produits manufacturés,livres,1,kg,.48949999,0,248.1765,5.1072526,0,0,0,1,1,1,1267,0,0,-.5
107,National toutes directions partenaires manquants,1789,La Rochelle,Dunkerque,Dunkerque,Exports,Eau de vie simple,eau-de-vie simple,321878.63,1592.67,livres,livres,202.10001,1789,La Rochelle,Charente,Angoumois,,,sources/National toutes directions partenaires manquants/AN_F12_1666_La_Rochelle_Exports_1789.csv,AN F12 1666,11,,,,,Ahmed,,14 sous la pinte ou 202lt et 2s le muid,15.07,,,,,,,,La Rochelle,Angoumois,Dunkerque,France,Dunkerque,France,France,Not Outre-mers,196,eau-de-vie simple,1,,Eau de vie de France,1,Pas importé en France depuis l'Amérique avant 1763,,0,not a medical product,270,Eau ; de vie,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Eaux-de-vie et liqueurs,No link with beaver,,,,Boissons et tabac,Beverages and tobacco,Drinks and tobacco,non,Subsistances,Agriculture,Produits agricoles,livres,1,kg,.48949999,0,779.61194,412.8703,0,0,0,1,1,1,321893,0,0,14.374398
